item_id,contenido,dificultad,discriminacion,adivinacion
1,"{'item_id': 1, 'contenido': '¿Cómo se declara una variable de tipo flotante en C++?', 'clave_correcta': 'float numero;', 'distractores': ['int numero;', 'double numero;', 'char numero;']}",0.5,0.32,0.18
2,"{'item_id': 2, 'contenido': '¿Qué comando se usa para compilar un archivo en C++ usando g++?', 'clave_correcta': 'g++ archivo.cpp -o ejecutable', 'distractores': ['gcc archivo.cpp -o ejecutable', 'compile archivo.cpp', 'build archivo.cpp']}",0.56,0.27,0.24
3,"{'item_id': 3, 'contenido': ""¿Cuál es el propósito de la función 'main' en un programa C++?"", 'clave_correcta': 'Es el punto de entrada del programa', 'distractores': ['Es una función de utilidad', 'Gestiona la memoria', 'No tiene un propósito específico']}",0.73,0.54,0.03
4,"{'item_id': 4, 'contenido': ""¿Cómo se escribe un bucle 'for' para iterar de 0 a 10 en C++?"", 'clave_correcta': 'for(int i = 0; i <= 10; i++) { }', 'distractores': ['for(int i = 0; i < 10; i++) { }', 'for(i = 0; i <= 10; i++) { }', 'for(int i = 1; i <= 10; i++) { }']}",0.16,0.36,0.25
5,"{'item_id': 5, 'contenido': ""¿Qué hace el operador '++' en una variable?"", 'clave_correcta': 'Incrementa el valor de la variable en 1', 'distractores': ['Decrementa el valor de la variable en 1', 'Multiplica el valor por 2', 'No realiza ninguna operación']}",0.57,0.27,0.05
6,"{'item_id': 6, 'contenido': '¿Cómo se define una constante en C++?', 'clave_correcta': 'const tipo nombre = valor;', 'distractores': ['constant tipo nombre = valor;', 'final tipo nombre = valor;', 'tipo nombre = valor;']}",0.53,0.24,0.2
7,"{'item_id': 7, 'contenido': ""¿Para qué sirve el comando 'g++ -o' en la compilación?"", 'clave_correcta': 'Especifica el nombre del ejecutable generado', 'distractores': ['Optimiza el código', 'Incluye bibliotecas adicionales', 'Muestra advertencias durante la compilación']}",0.81,0.97,0.15
8,"{'item_id': 8, 'contenido': '¿Qué es una variable global en C++?', 'clave_correcta': 'Una variable declarada fuera de todas las funciones', 'distractores': ['Una variable dentro de una función', 'Una variable constante', 'Una variable estática']}",0.83,0.2,0.15
9,"{'item_id': 9, 'contenido': '¿Cómo se crea un comentario de una línea en C++?', 'clave_correcta': '// Comentario', 'distractores': ['/* Comentario */', '<!-- Comentario -->', '# Comentario']}",0.67,0.99,0.09
10,"{'item_id': 10, 'contenido': '¿Qué es una referencia en C++ y cómo se declara?', 'clave_correcta': 'Un alias para una variable, se declara usando &', 'distractores': ['Un puntero, se declara usando *', 'Una copia de una variable, se declara usando =', 'No existe en C++']}",0.16,0.85,0.19
11,"{'item_id': 11, 'contenido': ""¿Cuál es la diferencia entre '==' y '=' en C++?"", 'clave_correcta': ""'==' compara igualdad, '=' asigna un valor"", 'distractores': [""'==' asigna un valor, '=' compara igualdad"", ""'==' y '=' son equivalentes"", ""'==' es para números y '=' para cadenas""]}",0.94,0.24,0.18
12,"{'item_id': 12, 'contenido': '¿Cómo se imprime un valor en consola usando cout?', 'clave_correcta': 'std::cout << valor << std::endl;', 'distractores': ['print(valor);', 'System.out.println(valor);', 'printf(""%d"", valor);']}",0.97,0.39,0.09
13,"{'item_id': 13, 'contenido': ""¿Qué es el 'if' en C++ y cómo se usa?"", 'clave_correcta': 'Una estructura condicional para ejecutar código basado en una condición', 'distractores': ['Un bucle para iterar sobre elementos', 'Una función para imprimir en pantalla', 'Una variable para almacenar valores booleanos']}",0.17,0.86,0.01
14,"{'item_id': 14, 'contenido': '¿Cómo se declara una función en C++?', 'clave_correcta': 'tipo_de_retorno nombreFuncion(parámetros) { /* cuerpo */ }', 'distractores': ['nombreFuncion tipo_de_retorno(parámetros) { }', 'function nombreFuncion(parámetros) : tipo_de_retorno { }', 'def nombreFuncion(parámetros) -> tipo_de_retorno { }']}",0.72,0.6,0.07
15,"{'item_id': 15, 'contenido': ""¿Cuál es el uso de la palabra clave 'return' en una función?"", 'clave_correcta': 'Devuelve un valor al llamador de la función', 'distractores': ['Inicia la función', 'Finaliza el programa', 'Declara una variable']}",0.69,0.54,0.13
16,"{'item_id': 16, 'contenido': '¿Cómo se convierte un número entero a flotante en C++?', 'clave_correcta': 'static_cast<float>(numero)', 'distractores': ['float(numero)', 'toFloat(numero)', '(float)numero', 'convert<float>(numero)']}",0.6,0.4,0.23
17,"{'item_id': 17, 'contenido': '¿Qué comando se usa para ejecutar un archivo compilado?', 'clave_correcta': './ejecutable', 'distractores': ['run ejecutable', 'execute ejecutable', 'start ejecutable']}",0.48,0.26,0.06
18,"{'item_id': 18, 'contenido': ""¿Cómo se usa la estructura 'switch' en C++?"", 'clave_correcta': 'switch(variable) { case valor1: /* código */ break; ... }', 'distractores': ['switch(variable) { if(valor1) { } }', 'switch { case valor1: /* código */ }', 'switch(variable) => { case valor1: /* código */ }']}",0.6,0.9,0.16
19,"{'item_id': 19, 'contenido': '¿Qué es una biblioteca y cómo se incluye en C++?', 'clave_correcta': 'Un conjunto de funciones y se incluye usando #include', 'distractores': ['Un tipo de variable y se declara con var', 'Un comentario y se escribe con //', 'Una clase y se define con class']}",0.92,0.23,0.2
20,"{'item_id': 20, 'contenido': '¿Qué tipo de datos se usa para almacenar texto en C++?', 'clave_correcta': 'std::string', 'distractores': ['char', 'int', 'float']}",0.24,0.81,0.24
21,"{'item_id': 21, 'contenido': '¿Cómo se define un arreglo en C++?', 'clave_correcta': 'tipo nombreArreglo[tamaño];', 'distractores': ['tipo nombreArreglo();', 'arreglo tipo nombreArreglo[tamaño];', 'tipo[] nombreArreglo = {};']}",0.73,0.31,0.2
22,"{'item_id': 22, 'contenido': ""¿Qué es el 'heap' y el 'stack' en la memoria de C++?"", 'clave_correcta': 'Áreas de memoria para almacenamiento dinámico y automático, respectivamente', 'distractores': ['Dos tipos de variables', 'Funciones especiales para gestionar memoria', 'Nombres alternativos para punteros y referencias']}",0.37,0.23,0.04
23,"{'item_id': 23, 'contenido': ""¿Para qué sirve el comando 'make' en C++?"", 'clave_correcta': 'Automatizar la compilación del programa', 'distractores': ['Ejecutar el programa', 'Depurar el código', 'Instalar bibliotecas']}",0.95,0.79,0.05
24,"{'item_id': 24, 'contenido': '¿Cómo se inicializa una variable con un valor en su declaración?', 'clave_correcta': 'tipo nombre = valor;', 'distractores': ['tipo nombre;', 'nombre = valor;', 'tipo = valor;']}",0.79,0.25,0.07
25,"{'item_id': 25, 'contenido': '¿Qué es una clase en C++?', 'clave_correcta': 'Una plantilla para crear objetos que encapsula datos y funciones', 'distractores': ['Una función especial', 'Una variable global', 'Una biblioteca estándar']}",0.9,0.92,0.02
26,"{'item_id': 26, 'contenido': '¿Cómo se crea un objeto de una clase en C++?', 'clave_correcta': 'Clase nombreObjeto;', 'distractores': ['new Clase();', 'Clase::crearObjeto();', 'crear Clase nombreObjeto;']}",0.78,0.84,0.24
27,"{'item_id': 27, 'contenido': '¿Qué es una función recursiva y cómo se declara en C++?', 'clave_correcta': 'Una función que se llama a sí misma, declarada como cualquier otra función', 'distractores': ['Una función que nunca termina, declarada con while', 'Una función que retorna múltiples valores, declarada con array', 'Una función interna, declarada dentro de otra función']}",0.4,0.85,0.05
28,"{'item_id': 28, 'contenido': ""¿Qué hace el operador '&&' en una expresión lógica?"", 'clave_correcta': 'Realiza una operación AND lógica', 'distractores': ['Realiza una operación OR lógica', 'Realiza una operación NOT lógica', 'Concatena cadenas']}",0.61,0.43,0.11
29,"{'item_id': 29, 'contenido': '¿Cómo se define un puntero en C++ y qué representa?', 'clave_correcta': 'tipo* nombrePuntero; representa la dirección de una variable', 'distractores': ['tipo& nombrePuntero; representa una referencia', 'tipo nombrePuntero; representa una copia de la variable', 'tipo** nombrePuntero; representa un puntero doble']}",0.84,0.43,0.21
